course_id,provider,course_title,total_colleges,credits_range,delivery_method,price,description,college,school,transfer_credits,more_info,,,,
c1,StraighterLine,Written English I,500+,0-3,Online Asynchronous,$79/month,Introductory writing course,Harvard University,Extension School,3,General Elective,,,,
c1,StraighterLine,Written English I,500+,0-3,Online Asynchronous,$79/month,Introductory writing course,Babson College,School of Business,2,Core Curriculum,,,,
c1,StraighterLine,Written English I,500+,0-3,Online Asynchronous,$79/month,Introductory writing course,USC,Professional Studies College,4,Written Communication Requirement,,,,
c2,Harvard University,Intro to Psychology,300+,4 to 5,In-person,"$1,200",Psychology fundamentals,Yale University,Department of Psychology,3,Social Science Requirement,,,,
c2,Harvard University,Intro to Psychology,300+,4 to 5,In-person,"$1,200",Psychology fundamentals,MIT,School of Humanities,2,Elective Credit,,,,
c2,Harvard University,Intro to Psychology,300+,4 to 5,In-person,"$1,200",Psychology fundamentals,UCLA,College of Letters and Science,4,General Education,,,,
c3,AP (Advanced Placement),AP African American Studies,1000+,3 to 6,In-person,$99,AP African American Studies is an interdisciplinary course that examines the diversity of African American experiences through direct encounters with rich and varied sources. Students explore key topics that extend from early African kingdoms to the ongoing challenges and achievements of the contemporary moment.,"University of California, Berkeley",, 2.6 semester units,Transfers as: African American Studies (available after May 2025),,,,
c3,AP (Advanced Placement),AP African American Studies,1000+,3 to 6,In-person,$99,AP African American Studies is an interdisciplinary course that examines the diversity of African American experiences through direct encounters with rich and varied sources. Students explore key topics that extend from early African kingdoms to the ongoing challenges and achievements of the contemporary moment.,"University of California, Merced",, 2.6 semester units,Transfers as: African American Studies (available after May 2025),,,,
c3,AP (Advanced Placement),AP African American Studies,1000+,3 to 6,In-person,$99,AP African American Studies is an interdisciplinary course that examines the diversity of African American experiences through direct encounters with rich and varied sources. Students explore key topics that extend from early African kingdoms to the ongoing challenges and achievements of the contemporary moment.,"University of California, Davis",,4 quarter units,Transfers as: African American Studies (available after May 2025),,,,
c3,AP (Advanced Placement),AP African American Studies,1000+,3 to 6,In-person,$99,AP African American Studies is an interdisciplinary course that examines the diversity of African American experiences through direct encounters with rich and varied sources. Students explore key topics that extend from early African kingdoms to the ongoing challenges and achievements of the contemporary moment.,"University of California, Irvine",,4 quarter units,Transfers as: African American Studies (available after May 2025),,,,
c3,AP (Advanced Placement),AP African American Studies,1000+,3 to 6,In-person,$99,AP African American Studies is an interdisciplinary course that examines the diversity of African American experiences through direct encounters with rich and varied sources. Students explore key topics that extend from early African kingdoms to the ongoing challenges and achievements of the contemporary moment.,"University of California, Los Angeles",,4 quarter units,Transfers as: African American Studies (available after May 2025),,,,
